crop,season,soil_type,sown_month,harvested_month,water_source,ph,crop_duration_days,temperature,humidity,n,p,k
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.0,130.6,39.2,69.2,82.2,44.4,56.6
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.8,117.8,22.7,67.2,90.7,41.5,59.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.8,131.1,34.1,78.9,99.3,58.1,50.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.2,129.9,38.3,60.1,97.6,47.1,58.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.6,131.9,34.9,67.5,88.1,45.3,52.9
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.8,110.1,33.7,75.7,82.9,41.3,40.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.9,114.3,31.7,76.7,89.1,59.1,46.7
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.6,114.8,29.1,67.1,86.2,41.4,55.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.6,119.0,35.4,75.3,96.6,47.4,57.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.0,131.3,28.2,75.5,90.0,43.5,59.9
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.7,120.7,31.1,75.1,81.1,54.5,54.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.6,118.4,29.1,65.5,90.8,55.7,41.9
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.4,133.5,25.1,70.3,85.3,53.5,42.0
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.0,127.3,39.5,75.7,90.3,53.6,57.2
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.7,123.5,36.7,61.2,93.2,57.2,47.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.0,145.6,20.2,72.8,81.9,53.7,57.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.6,115.5,35.7,60.2,91.1,50.9,44.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.0,149.1,29.6,68.9,96.2,41.1,44.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.8,147.3,38.3,63.7,94.8,43.8,54.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.5,147.7,25.3,60.6,94.4,52.2,40.8
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.5,110.2,38.3,64.9,92.3,54.0,56.2
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.3,132.1,32.1,71.0,82.2,55.2,41.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.3,111.8,39.5,74.2,83.0,58.2,51.8
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.8,145.1,25.6,71.5,96.4,51.4,43.3
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.4,116.9,31.4,77.1,90.3,40.2,46.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.6,110.4,32.5,72.9,92.2,56.3,46.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.8,122.6,27.2,67.8,97.9,47.5,40.1
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.6,135.3,39.3,74.3,80.4,53.1,42.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.1,128.8,26.0,68.7,89.6,46.3,41.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.4,143.4,22.0,77.2,98.6,59.2,42.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.3,135.3,25.4,68.1,91.4,55.5,48.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.4,131.9,26.3,68.6,82.6,42.0,51.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.7,120.7,27.1,62.1,81.2,43.2,48.4
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.8,148.7,34.0,78.8,91.5,52.4,53.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.5,129.6,36.4,73.5,87.4,42.6,46.1
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.8,118.8,31.4,60.4,82.9,57.1,58.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.1,132.7,26.0,68.5,84.5,59.9,47.5
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.0,123.2,31.6,60.7,95.2,41.9,57.9
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.9,127.5,23.1,73.3,81.7,46.5,49.9
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.1,120.8,25.4,69.6,93.0,52.6,56.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.3,112.9,30.5,71.8,90.4,55.2,57.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.5,110.8,39.8,77.2,96.4,52.3,44.4
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.4,127.2,38.8,72.4,84.7,46.7,51.5
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.4,130.8,39.9,61.7,95.6,45.7,51.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.2,134.3,35.2,67.2,81.7,53.3,54.8
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.4,143.2,33.8,73.0,84.0,43.9,41.6
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.6,140.1,35.8,72.0,89.4,57.1,49.8
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.2,129.0,28.3,67.6,89.5,50.4,51.6
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.8,130.6,29.6,64.6,87.0,54.6,40.1
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.0,120.3,20.5,63.4,97.6,40.9,59.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.1,127.3,37.9,74.6,82.2,51.9,52.1
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.3,112.9,39.0,69.4,84.9,44.4,48.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.1,136.5,33.4,73.1,91.3,48.9,57.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.8,147.9,34.1,78.6,98.1,56.9,50.7
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.0,130.7,33.4,78.7,86.6,48.6,48.0
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.4,124.6,27.0,74.5,99.1,51.2,44.9
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.8,126.0,31.8,68.5,85.9,53.6,53.6
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.1,113.5,39.8,72.6,90.9,57.9,59.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.4,120.2,27.1,75.3,81.5,54.8,41.7
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.8,130.1,39.0,63.8,88.5,58.7,50.7
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.5,140.0,30.8,62.3,91.8,45.6,54.3
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.9,122.8,25.7,70.3,88.2,42.7,52.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.1,134.3,31.3,76.1,88.4,55.6,55.3
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.0,143.9,20.4,62.6,90.5,51.1,58.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.4,137.4,30.0,66.8,95.7,57.1,42.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.8,134.0,21.1,78.5,83.6,49.6,55.9
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.1,128.0,26.2,67.8,99.0,44.2,42.7
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.7,128.8,22.8,69.8,98.6,43.3,41.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.1,130.7,24.7,63.2,95.2,54.2,44.1
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.7,130.8,21.0,69.1,98.8,51.7,57.7
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.2,121.0,33.8,78.7,98.7,59.1,50.0
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.7,143.6,26.2,66.0,95.1,45.1,46.9
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.3,125.8,39.2,79.3,90.7,47.1,48.2
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.2,144.0,38.8,63.6,84.2,44.3,51.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.6,118.0,38.5,61.3,92.3,41.0,47.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.2,114.2,22.0,76.2,94.9,43.7,45.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.2,129.2,28.0,62.4,90.5,45.6,56.8
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.6,117.0,25.2,66.7,86.3,58.2,43.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.9,133.4,22.8,75.3,83.7,54.4,54.2
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.2,144.2,33.1,73.6,100.0,46.1,54.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.0,115.9,28.6,65.6,99.4,40.1,54.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.2,148.9,32.1,70.7,93.4,46.7,58.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.9,120.4,25.7,64.7,93.3,52.8,45.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.4,135.0,35.0,60.2,83.9,42.7,50.2
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.6,144.0,36.1,68.3,97.4,43.3,50.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.4,139.6,35.7,71.0,80.5,54.3,49.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.9,119.1,38.7,74.1,91.8,41.4,45.9
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.0,136.0,38.1,68.1,87.9,58.5,58.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.1,130.2,31.8,73.3,94.3,40.0,48.3
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.5,112.3,21.4,67.2,86.2,59.7,45.2
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.1,117.2,26.5,63.7,87.2,59.6,53.3
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.1,141.1,39.1,79.1,81.3,59.2,55.7
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.5,142.3,28.8,66.1,92.5,44.7,43.1
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.6,129.7,34.0,70.7,80.5,57.3,51.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.4,147.0,33.1,68.2,82.1,40.9,50.0
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.9,124.7,39.5,72.4,89.1,40.2,47.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.2,141.8,26.7,63.1,86.6,40.1,53.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.4,136.3,38.1,65.2,96.6,54.9,58.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.7,135.8,26.8,73.7,81.5,58.8,51.2
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.4,112.6,29.4,69.7,89.6,57.1,48.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.9,142.1,34.3,60.1,92.2,56.9,45.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.8,147.1,22.2,64.5,92.5,50.1,51.9
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.7,149.6,24.4,80.0,97.3,57.5,59.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.7,129.9,33.3,72.8,83.3,53.0,41.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.3,138.5,25.0,72.7,94.5,58.5,55.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.3,116.5,25.4,74.9,80.2,45.6,49.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.3,113.6,21.4,66.8,94.1,40.6,52.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.1,145.6,31.1,66.4,82.4,43.4,50.2
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.4,119.0,25.6,69.3,94.2,40.5,41.1
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.7,111.4,33.9,67.2,83.4,51.1,47.2
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.8,149.9,37.3,75.2,90.8,43.7,47.6
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.4,130.3,30.3,68.2,83.4,49.8,41.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.9,115.3,25.7,78.4,88.0,58.1,55.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.3,113.7,28.3,65.0,83.7,55.8,50.0
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.6,112.9,39.4,69.2,88.4,48.0,46.9
Rice,Kharif,Silt,Jul,Oct,Rainfed,8.0,133.4,23.5,76.0,97.1,49.2,53.2
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.9,113.7,30.7,69.2,94.1,50.3,45.3
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.1,126.9,22.6,63.2,86.7,51.4,43.6
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.0,131.9,25.8,62.9,82.1,48.5,49.9
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.0,141.3,31.7,73.8,89.5,47.8,40.2
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.1,141.2,22.7,64.7,89.0,47.6,49.2
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.4,125.3,37.1,76.6,91.5,52.4,57.7
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.9,140.0,23.1,70.3,87.3,41.1,41.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.6,133.6,26.6,70.9,88.4,50.4,48.2
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.4,123.6,32.7,76.4,95.0,48.4,55.7
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.1,122.6,23.8,70.6,98.6,59.4,47.6
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.3,139.1,39.7,65.0,97.4,45.6,42.0
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.8,132.4,34.5,73.5,90.4,49.5,42.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.5,117.3,33.0,66.2,81.8,49.8,44.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.8,143.9,29.3,78.1,86.2,59.8,51.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.0,123.3,33.2,71.3,82.7,49.2,44.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.8,119.6,32.8,67.7,89.1,55.8,59.4
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.9,124.8,21.5,66.1,90.7,58.3,48.6
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.1,143.0,29.1,74.9,83.2,56.0,52.8
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.7,119.0,27.0,64.9,91.7,57.2,45.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.2,146.4,28.9,69.0,90.1,52.9,43.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.7,147.3,36.1,64.8,90.4,49.6,46.4
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.1,133.6,37.8,65.7,88.5,52.4,44.5
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.0,112.3,31.9,76.0,99.6,40.3,40.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.8,127.0,24.0,62.9,84.1,49.3,53.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.4,149.3,38.6,75.2,92.0,47.3,48.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.2,147.2,21.4,68.0,82.5,59.1,42.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.4,136.7,35.6,77.7,97.8,53.5,47.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.6,124.5,28.3,62.6,83.4,48.0,55.4
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.1,120.2,30.1,63.5,84.0,50.9,59.7
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.6,138.0,21.2,71.5,82.0,42.1,59.7
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.7,113.5,30.3,65.7,90.4,58.8,55.1
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.2,135.7,25.7,70.2,81.0,50.1,59.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.0,112.1,29.5,78.6,91.5,41.2,54.9
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.8,125.7,29.4,61.2,90.3,51.4,45.1
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.8,131.8,25.3,68.9,82.3,54.0,47.1
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.2,129.6,21.2,70.0,86.8,40.7,41.3
Rice,Kharif,Loamy,Jun,Sep,Irrigated,7.7,135.5,39.5,62.8,97.5,59.3,52.7
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.4,117.5,23.9,63.8,84.1,49.8,59.5
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.7,134.8,36.5,75.3,87.1,52.6,53.7
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.4,145.4,25.2,71.4,87.9,41.8,51.5
Rice,Kharif,Clay,Jun,Sep,Irrigated,7.5,117.8,21.2,72.4,83.5,56.4,50.6
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.7,141.3,24.0,78.9,92.0,43.4,49.8
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.5,126.8,29.2,75.2,87.8,43.0,52.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.5,143.5,26.3,66.8,99.4,53.7,58.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.2,124.3,28.9,62.6,98.4,42.0,55.0
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.8,112.5,28.7,70.1,85.3,51.8,50.3
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.1,139.6,29.9,74.3,83.8,44.4,45.8
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.8,144.5,29.4,76.6,89.9,54.2,49.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.0,147.7,27.7,71.6,86.8,40.6,50.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.0,139.0,28.4,68.0,87.0,45.3,55.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.4,137.8,33.1,64.5,92.7,45.5,40.1
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.4,138.2,22.1,64.2,98.3,53.0,41.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.7,124.6,39.2,76.4,85.0,55.8,54.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.6,143.9,34.1,60.8,81.5,42.9,40.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.7,112.1,26.7,68.5,87.9,55.4,54.8
Rice,Kharif,Clay,Jul,Oct,Rainfed,7.4,137.2,31.9,79.2,88.8,55.3,47.4
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.9,118.2,26.6,60.0,87.8,41.8,46.5
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.9,129.0,30.9,79.5,83.3,44.6,46.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.7,113.7,32.6,68.4,96.6,46.2,57.3
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.6,119.1,22.8,68.2,86.1,53.7,59.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.3,145.7,37.6,63.7,83.2,58.4,40.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,5.2,118.7,30.8,61.9,85.9,44.0,57.0
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.7,131.3,26.3,76.2,93.2,53.0,41.3
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.8,115.5,30.8,62.7,98.2,48.0,58.5
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.8,127.3,30.6,60.4,85.4,44.0,54.0
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.9,144.2,28.7,60.2,96.1,46.0,57.5
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.9,141.4,33.1,74.9,86.1,56.9,43.6
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.3,118.0,26.9,61.7,95.0,42.6,46.3
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.0,149.2,31.0,64.6,93.5,48.5,50.1
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.1,116.7,24.3,64.0,97.3,55.0,54.6
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.2,139.0,24.3,68.5,88.4,50.3,54.2
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.6,118.1,26.5,66.4,88.4,53.5,56.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.5,138.1,24.5,69.0,80.3,48.9,43.4
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.4,143.6,39.9,74.5,97.8,44.9,46.8
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.1,139.3,39.8,75.9,91.1,42.9,58.7
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.2,119.2,21.0,63.1,84.8,50.2,57.4
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.2,146.0,32.5,76.5,85.0,45.1,58.0
Rice,Kharif,Silt,Jul,Oct,Rainfed,7.5,143.4,27.0,66.6,85.6,58.0,44.9
Rice,Kharif,Loamy,Jun,Sep,Irrigated,8.0,131.4,36.6,77.7,83.9,54.6,42.5
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.1,134.4,36.7,65.1,88.4,49.2,59.7
Rice,Kharif,Silt,Jun,Sep,Irrigated,7.4,145.0,21.3,63.6,81.5,53.2,54.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,6.6,124.1,35.6,79.1,92.5,51.4,41.6
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.7,120.1,27.6,62.6,84.2,55.1,40.7
Rice,Kharif,Silt,Jul,Oct,Rainfed,5.6,135.4,31.5,71.0,94.5,44.6,48.4
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.8,115.4,39.4,74.9,86.6,57.6,43.0
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.3,135.2,22.1,74.4,87.6,52.6,55.7
Rice,Kharif,Silt,Jun,Sep,Irrigated,5.8,127.3,34.7,79.1,97.2,48.8,54.2
Rice,Kharif,Loamy,Jul,Oct,Rainfed,5.2,139.7,27.9,75.3,99.2,51.9,58.8
Rice,Kharif,Clay,Jun,Sep,Irrigated,6.5,111.0,34.2,71.7,92.1,59.0,52.1
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.3,122.7,30.2,68.7,95.2,50.9,44.6
Rice,Kharif,Loamy,Jun,Sep,Irrigated,6.0,135.1,37.9,60.3,82.5,45.6,54.6
Rice,Kharif,Clay,Jul,Oct,Rainfed,6.4,123.8,28.8,64.6,87.7,53.0,50.1
Rice,Kharif,Silt,Jun,Sep,Irrigated,6.6,148.4,23.0,66.4,88.3,55.0,59.0
Rice,Kharif,Loamy,Jul,Oct,Rainfed,7.0,147.7,20.6,62.3,89.8,57.8,59.7
Rice,Kharif,Clay,Jun,Sep,Irrigated,5.2,133.0,36.4,69.6,96.9,49.6,56.4
Rice,Kharif,Silt,Jul,Oct,Rainfed,6.5,130.6,39.3,60.7,95.9,58.3,41.1
Rice,Kharif,Loamy,Jun,Sep,Irrigated,5.2,114.2,33.9,61.5,87.1,40.8,45.2
